Timestamp_Run,W_Hours_S2,H_Hours_S2,FFT_Included,Accuracy_S2,F1_Macro_S2,Recall_Macro_S2,Precision_Macro_S2
2025-04-11 18:02:42,6,6,False,0.9827,0.1481,0.1478,0.1487
2025-04-11 18:11:24,6,9,False,0.9711,0.1932,0.1913,0.2006
2025-04-11 18:20:07,6,12,False,0.9579,0.2127,0.2207,0.2084
2025-04-11 18:28:52,6,24,False,0.9062,0.2424,0.272,0.2246
2025-04-11 18:37:39,6,36,False,0.8492,0.2686,0.3185,0.2484
2025-04-11 18:46:25,6,48,False,0.8044,0.2891,0.3615,0.2609
2025-04-11 18:55:21,6,60,False,0.765,0.2983,0.3706,0.2723
2025-04-11 19:04:09,6,72,False,0.7311,0.3059,0.3815,0.2762
2025-04-11 19:13:06,9,6,False,0.9831,0.1695,0.1655,0.176
2025-04-11 19:21:46,9,9,False,0.9717,0.1601,0.1596,0.1617
2025-04-11 19:30:25,9,12,False,0.9584,0.2057,0.2089,0.2091
2025-04-11 19:39:09,9,24,False,0.9015,0.242,0.2749,0.231
2025-04-11 19:47:52,9,36,False,0.8472,0.2717,0.331,0.2482
2025-04-11 19:56:40,9,48,False,0.8037,0.2954,0.3716,0.2677
2025-04-11 20:05:30,9,60,False,0.7556,0.3021,0.3866,0.2715
2025-04-11 20:14:22,9,72,False,0.7328,0.3134,0.3913,0.2818
2025-04-11 20:23:17,12,6,False,0.9811,0.163,0.1611,0.17
2025-04-11 20:31:54,12,9,False,0.9717,0.1868,0.1827,0.1965
2025-04-11 20:40:33,12,12,False,0.9614,0.227,0.2266,0.2386
2025-04-11 20:49:10,12,24,False,0.9011,0.2379,0.2648,0.2343
2025-04-11 20:57:55,12,36,False,0.8454,0.2663,0.3221,0.2443
2025-04-11 21:06:45,12,48,False,0.8073,0.3053,0.3815,0.2754
2025-04-11 21:15:36,12,60,False,0.7595,0.3198,0.4157,0.2844
2025-04-11 21:24:31,12,72,False,0.7313,0.3089,0.3865,0.2774
2025-04-11 21:33:29,24,6,False,0.9818,0.1699,0.1611,0.2067
2025-04-11 21:42:09,24,9,False,0.9723,0.1755,0.1704,0.1867
2025-04-11 21:50:48,24,12,False,0.962,0.2164,0.2122,0.2448
2025-04-11 21:59:31,24,24,False,0.9026,0.2594,0.2846,0.2486
2025-04-11 22:08:14,24,36,False,0.8509,0.2879,0.3429,0.2611
2025-04-11 22:17:04,24,48,False,0.8059,0.311,0.3892,0.2768
2025-04-11 22:25:56,24,60,False,0.7565,0.3172,0.4082,0.2839
2025-04-11 22:34:53,24,72,False,0.7313,0.3195,0.4035,0.2856
2025-04-11 22:43:52,36,6,False,0.9805,0.1941,0.1823,0.2217
2025-04-11 22:52:32,36,9,False,0.9701,0.2055,0.2027,0.2091
2025-04-11 23:01:13,36,12,False,0.9584,0.2274,0.2274,0.2324
2025-04-11 23:10:01,36,24,False,0.902,0.2617,0.2911,0.2458
2025-04-11 23:18:51,36,36,False,0.854,0.2948,0.349,0.2661
2025-04-11 23:27:42,36,48,False,0.8091,0.3181,0.3959,0.2823
2025-04-11 23:36:39,36,60,False,0.7618,0.3268,0.4196,0.2891
2025-04-11 23:45:37,36,72,False,0.7357,0.333,0.4214,0.2954
2025-04-11 23:54:34,48,6,False,0.98,0.1975,0.192,0.2078
2025-04-12 00:03:13,48,9,False,0.9702,0.2224,0.2158,0.2334
2025-04-12 00:11:55,48,12,False,0.9578,0.224,0.226,0.2275
2025-04-12 00:20:43,48,24,False,0.9037,0.2835,0.3173,0.2629
2025-04-12 00:29:29,48,36,False,0.8499,0.298,0.3626,0.2661
2025-04-12 00:38:18,48,48,False,0.809,0.3193,0.3955,0.2826
2025-04-12 00:47:12,48,60,False,0.7615,0.3273,0.4195,0.2887
2025-04-12 00:56:10,48,72,False,0.738,0.3339,0.4213,0.2961
2025-04-12 01:05:07,60,6,False,0.981,0.2095,0.1946,0.2504
2025-04-12 01:13:51,60,9,False,0.9696,0.2072,0.2061,0.2105
2025-04-12 01:22:34,60,12,False,0.9585,0.2441,0.2443,0.2495
2025-04-12 01:31:20,60,24,False,0.8985,0.2513,0.2819,0.2333
2025-04-12 01:40:07,60,36,False,0.8464,0.2923,0.3598,0.2598
2025-04-12 01:48:58,60,48,False,0.808,0.3293,0.4169,0.2887
2025-04-12 01:57:54,60,60,False,0.7652,0.3304,0.4201,0.292
2025-04-12 02:06:49,60,72,False,0.741,0.3402,0.4296,0.3016
2025-04-12 02:15:52,72,6,False,0.9789,0.2047,0.1985,0.2147
2025-04-12 02:24:40,72,9,False,0.9686,0.2109,0.2092,0.2175
2025-04-12 02:33:25,72,12,False,0.9575,0.2466,0.2573,0.2415
2025-04-12 02:42:12,72,24,False,0.8985,0.2564,0.2894,0.2373
2025-04-12 02:51:05,72,36,False,0.8518,0.3062,0.3742,0.2719
2025-04-12 03:00:02,72,48,False,0.8074,0.3297,0.4186,0.2886
2025-04-12 03:09:03,72,60,False,0.7637,0.3358,0.4321,0.2949
2025-04-12 03:18:09,72,72,False,0.7417,0.3359,0.4217,0.2983
2025-04-12 03:27:06,84,6,False,0.9783,0.2092,0.2045,0.2188
2025-04-12 03:35:53,84,9,False,0.9683,0.211,0.2122,0.2118
2025-04-12 03:44:37,84,12,False,0.9592,0.2724,0.2792,0.2711
2025-04-12 03:59:25,84,24,False,0.9032,0.2859,0.326,0.2625
2025-04-12 04:08:43,84,36,False,0.8537,0.3094,0.3745,0.2752
2025-04-12 04:18:20,84,48,False,0.8109,0.3413,0.4365,0.2975
2025-04-12 04:27:34,84,60,False,0.7671,0.3409,0.4356,0.2991
2025-04-12 04:36:49,84,72,False,0.7446,0.3491,0.4409,0.3079
2025-04-12 04:46:03,84,84,False,0.7286,0.3544,0.4346,0.3168
2025-04-12 05:04:54,6,84,False,0.715,0.3134,0.3803,0.2853
2025-04-12 05:13:59,9,84,False,0.7129,0.3123,0.376,0.2873
2025-04-12 05:23:02,12,84,False,0.7146,0.3275,0.4028,0.2961
2025-04-12 05:32:10,24,84,False,0.7195,0.3313,0.4055,0.3001
2025-04-12 05:41:18,36,84,False,0.7206,0.3328,0.4054,0.3006
2025-04-12 05:50:34,48,84,False,0.7277,0.3427,0.4165,0.3081
2025-04-12 05:59:48,60,84,False,0.7274,0.3467,0.4223,0.3112
2025-04-12 06:08:56,72,84,False,0.7284,0.3512,0.4302,0.3139
